key,value
S42.0,Fracture of clavicle
S42.1,Fracture of scapula
S42.2,Fracture of humerus
S42.3,Fracture of humerus
S42.4,Fracture of humerus
S52,Fracture of radius and ulna
S62,Fracture of Carpal bones
S42.9,"Fracture of UE, other"
